id,context_tweet,text,JM,Vivi,Pau,Notas_JM,Notas_Vivi,Notas_Pau
339709,Coronavirus: un diario inglés asegura que los mercados chinos siguen vendiendo murciélagos y carne de animales domésticos https://t.co/qFPs4aHf6D,@usuario Que gente de mierda .,0,0,0,,mierda,
395003,"Murió el periodista Mario Pereyra, ícono de la radio de Córdoba https://t.co/MZtxmqFP4o",@usuario Cuánto zurdito resentido en los comentarios...,1,1,1,,zurdito,zurdito
381327,"""Se terminó, a salir a la calle”: detuvieron a un hombre que se grabó llamando a romper la cuarentena obligatoria https://t.co/VCK2uezc9p",@usuario Flor de imbécil,1,1,1,,flor de,flor de
371979,El polémico mensaje de Cinthia Fernández sobre la muerte de un delincuente en un intento de robo https://t.co/odv7PghHxL,@usuario Y que tiene tiene de polémico???,0,0,0,,,
342998,Coronavirus: China anunció que no registró ningún caso nuevo local https://t.co/bg8d1fSwBX https://t.co/M47osbSpVL,@usuario Chinos de mierda q se maten todos,0,0,0,,"inconsistente con el 1ro por mierda""",
360287,El divertido pedido de Jimena Barón a Alberto Fernández por la falta de intimidad en cuarentena https://t.co/6e8rPmXrVd,@usuario Llevaba 5 días sin reírme. Ahora van 6..,0,0,0,,"no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
407017,"El tamaño, ¿importa?: cómo medirlo y consejos para una penetración más placentera | Por Cecilia Ce https://t.co/6MNdfYk5LI","@usuario Por supuesto que el tamaño NO IMPORTA,,,,,TENERLA CHICA NO CUENTA Y NO IMPORTA😂😂😂😂😂😂😂😂",1,0,0,"""tenerla chica""",,
407369,¿Se puede ser feminista y llorar a Diego Maradona? https://t.co/cdAPQ8PuEL https://t.co/VggCrUXUaZ,@usuario Ustedes son una mierda,0,0,0,,"no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
334492,🔴 AHORA | El Gobierno habilitó el arribo de más de 200 médicos cubanos para atender el pico de la pandemia https://t.co/MNHYfDb7e0 https://t.co/qLtyXPknXb,@usuario No hay médicos en Argentina? O tenemos que recibir espías agitadores e médicos inútiles como los cubanos?,0,0,0,,,
386305,El Gobierno respaldó el proyecto para que el Estado se quede con acciones de las empresas a las que ayuda durante la pandemia https://t.co/78kq4nG3On,"@usuario El Gobierno respaldó la propuesta del Estado?????. . . no son lo mismo, sobre todo en época de peronismo????. . . No se les cae otra idea que no sea quedarse con lo que no les pertenece?????. . . tantos eruditos y mba de Harvard y no tiran un centro como la gente????",1,0,0,"""tirar un centro""","no es regionalismo, pero tiene informacion regional (en este caso no importa porque no es hate speech)",
368291,Tres extranjeros incumplían la cuarentena total y agredieron a los policías que quisieron identificarlos https://t.co/r40lhweP5P,"@usuario Deportación, 3 problemas menos.",0,0,0,,,
342025,Efecto coronavirus: ¿ahora la grieta es entre Alberto Fernández y Cristina Kirchner? https://t.co/wM6sIQRMZ6,@usuario La grieta es lo q publica Clarín versus la veracidad!!!,1,1,1,"""la grieta""",ademas tiene informacion regional (en este caso no importa porque no es hate speech),grieta
398513,En Salta mandaron a un abusador a la casa porque se llovía su calabozo: vive al lado de la nena que atacó https://t.co/vHITnb3yzt,@usuario @usuario Basura,0,0,0,,,
397208,Yanina Latorre le respondió a quienes la cuestionaron porque su mamá se vacunó contra el COVID-19 en Estados Unidos https://t.co/w9t3G6NIBX,"@usuario Muy triste, no saber que la vida no se compra,.",0,0,0,,,
388614,"“Los padres confían en mí, ese es su problema”: los mensajes de un docente de una escuela evangélica en los que admite que abusó de menores https://t.co/it8bmQEa9e","@usuario @usuario Que terrible!!!! Para terminoar con esto hay que avabar con la cultura de la violación. Además  aprender a escuchar a lxs niñxs,  creerles, enseñarles #Esi
#BastaDeAsi #BastaDeViolencias",0,0,0,,"o sí, ya que lxs niñxs",
364261,🔴 AHORA | María Eugenia Vidal: “Queremos pedirles otra oportunidad para hacer el mejor gobierno posible” https://t.co/i6jLBjs5OG https://t.co/2qajW0UDq4,@usuario Jajajajajaaaaaa seguí participando,0,0,1,,,seguí participando en sentido local
365222,Opinan los especialistas: ¿por qué los jóvenes argentinos se quieren ir del país? | Por Graciela Gioberchio https://t.co/INs2rWc8KK,@usuario Una mejor calidad de vida y oportunidades,0,0,0,,,
375744,"Thelma Fardin revictimizada: las víctimas de violación no pueden quedar presas del estigma mientras los violadores siguen libres | Por Luciana Peker
https://t.co/MIEIxyK7Wv",@usuario La invito a que asista al programa de los señores Tugo Bierno y el arabe,1,0,1,"""tugo bierno""",,tugo
339209,"Coronavirus: con un piquete fronterizo, bolivianos piden controles sanitarios para los argentinos que entran a ese país https://t.co/EwPYLuDXlA","@usuario Acá somos tan boludos que les damos hospitales, escuelas y universidades gratis y como si fuera poco también planes, AUH y ahora la tarjeta Alimentar.
Encima comentas algo y salta desde el INADI la idiota de Vicky Donda gritando q están discriminando!
País de pelotudos.",0,1,1,,"INADI
supongo que sí porque está el inadi. ",pelotudos
384739,La angustia de Lola Latorre por los agravios que recibe en las redes: “Me hicieron un meme de Peter La Anguila” https://t.co/PFrtFcXm6J,@usuario NABANANANAS QUIEN FUE EL CULIAO JAJAJAJSJSJSJS,1,1,1,"""culiao""",culiao,culiao
380437,"Vecinos de Villa Azul, entre el miedo al coronavirus y al futuro: ""¿Cómo hacemos para tener comida? ¿Qué hacemos cuando esto termine?"" https://t.co/0oeteKmFSi",@usuario La Su los puede ayudar,0,0,0,,La su?,
347952,Donald Trump: “Fue la incompetencia de China y nada más lo que causó esta masiva matanza mundial” https://t.co/4owLXYJ58c,"@usuario China no llega ni a la mitad de matanzas que causó eeuu en todas sus golpes de estados, invasiones y guerras a nivel mundial . En Argentina entre el 76 y el 83, eeuu mato con su mano de obra nacional a alrededor de 30000 personas. Polemico.",0,0,0,,,
363955,"José Luis Chilavert fustigó a Diego Maradona por su relación con Nicolás Maduro, Hugo Chávez y Fidel Castro https://t.co/vUS5tokXrg https://t.co/i1hIh83avt",@usuario A quien mierda le importa lo que piense un PARAGUAYO??? Sea éste o cualquier otro.  Que vayan a su país a opinar de su gente.,0,0,0,,"inconsistencia con anterior por ""mierda""",
341121,"Coronavirus: ¿China logró la vacuna ""perfecta""? https://t.co/yW2eoOmxTn","@usuario Y ahora la venderan y se harán mas ricos, deberian regalarla",0,0,0,,,
335681,"Por la crisis, el Gobierno se prepara para repartir cajas navideñas a más de un millón y medio de familias https://t.co/GYNPciRRtS",@usuario #CFKesCLEPTOCRACIA,0,1,0,,"cleptocracia
no se si es regional, pero no es palabra estándar",
363270,"Insólito: un buque chino inicialmente detenido por pescar ilegalmente en mar argentino, logró al final darse a la fuga | Por Sergio Serrichio https://t.co/rzUyxCSm5c",@usuario @usuario Insólito? Ja,0,0,0,,,
403705,"Es norteamericano, sobrevivió al 11-S y se mudó a Argentina: “Es uno de los mejores países del mundo” | Por Florencia Illbele
https://t.co/Lsiw2RrMnR","@usuario Obvio míster, lástima el #gobiernodemierda que tenemos y todos sus séquitos planeros. Andate antes q te apuñalen en la calle y la policía no te pueda defender.",1,1,1,planeros,planeros,planeros
391347,Cristina Kirchner recibió la vacuna Sputnik V https://t.co/8ewxO1BWFP https://t.co/8mpgO5sZ3B,@usuario Circo para la gilada que piensa que esta nefasta es una santa,1,1,0,,circo?,
385901,Ginés González García: “La vacuna contra el COVID-19 podría estar a principios del año que viene” | Por Mariana Dahbar https://t.co/du52RLsvyv,@usuario Borracho chamuyero.,1,1,1,,chamuyero,"chamuyero
Borracho?"
340011,"Elisa Carrió: ""No tengan miedo, el problema no es el coronavirus sino Putin"" https://t.co/PNCHuFxdnM",@usuario Pongan en cuarentena a está mujer...lo tiene lo tiene,0,0,0,,,
352088,OPINIÓN: la vicepresidenta aprovecha el miedo y la regresión de la sociedad para embestir contra sus causas por corrupción. Eduardo van der Kooy https://t.co/Jm8II1cyUy,@usuario Y a darle a la makinita o al bitcóin,0,1,1,,makinita,maquinita
377747,"Grabois calificó al campo como ""parásitos que viven de la renta extraordinaria de la tierra que es de todos"" https://t.co/c8XQr9c1aA","@usuario LA TIERRA ES PARA EL QUE LA COMPRO CON ESFUERZO Y SUDOR DE SANGRE, PARA QUE VENGAS VOS IMBECIL A QUERER DECIR QUE ES DE TODOS. NO SABES DIFERENCIAR UNA VACA DE UN CHIMANGO.",0,0,1,,,frase chimango
355566,"Luis Brandoni cruzó a Ricardo Alfonsín por sus críticas a la marcha: ""No está en el centro de sus convicciones, de lo que ha mamado desde que nació"" https://t.co/RuqteYDjek",@usuario Que convicciones querés que tenga el excremento de @usuario si manotea un millón de pesos por mes del estado. A quien carajo le puede importar la moral que pueda tener un hdp así.,0,1,,,hdp,
395002,"Murió el periodista Mario Pereyra, ícono de la radio de Córdoba https://t.co/MZtxmqFP4o",@usuario Un forro menos,1,1,1,,forro,forro
344672,Coronavirus: desde Malvinas le contestaron a Daniel Filmus que si necesitan ayuda se la van a pedir al Reino Unido https://t.co/7mKJUK1501,@usuario Ojalá les llegue el virus y se caguen muriendo ...mugrientos de mierda,0,1,1,,caguen muriendo,cagarse muriendo
362144,Un grupo de encapuchados saqueó una tienda de Louis Vuitton en Portland en medio de las protestas por la muerte de George Floyd https://t.co/WdWGIAhskH,@usuario Primero lo importante...,0,0,0,,,
390578,Aborto: miles de mujeres volvieron a las calles para reclamar que se trate y sea ley https://t.co/hbfjyaIYbA,@usuario #YoNoMeVacuno mi cuerpe,0,1,0,,cuerpe,
356297,Morena Rial estaba haciendo una transmisión en vivo y comenzó a discutir con su novio https://t.co/uLAgLHZBqD,@usuario A todo esto ... Quien cuidaba al nene???,0,0,0,,,
387023,😱[¿QUÉ PASÓ?]😱 La angustia de More Rial tras la pelea pública con su novio &gt;&gt;&gt; La pareja protagonizó un fuerte enfrentamiento en medio de una transmisión en vivo de Instagram y preocupó a todos los seguidores. ¡Mirá!  https://t.co/UUMF6LyVlm,@usuario Esta chica está enferma . De que manera se la puede ayudar antes que sea demasiado tarde?,0,0,0,,,
358758,24 de marzo. Florencia Kirchner recordó a Néstor desde la cuarentena con su madre y su hija https://t.co/GbQ6LuEUik https://t.co/eRjGDz3R7I,@usuario Avísenle a está piba que lea la historia en la dictadura el padre no hizo nada por los derechos humanos se dedicó a quitarle las casas a quien no podía pagar nefastos hipocrita,0,0,0,,,
397239,Yanina Latorre le respondió a quienes la cuestionaron porque su mamá se vacunó contra el COVID-19 en Estados Unidos https://t.co/w9t3G6NIBX,@usuario Ojalá todo esto genere que la familia Latorre en pleno se vaya a vivir al exterior. Son prescindibles,0,0,0,,habla de personas de la región,
357368,La desacertada declaración de Bernie Ecclestone: “En muchos casos las personas negras son más racistas que las blancas” https://t.co/30IR1woaCw,@usuario Tiene razón.  No es políticamente correcto decirlo. Pero es cierto,0,0,0,,,
377122,Escándalo en Córdoba por los comentarios antisemitas de un profesor: “Le doy el aguinaldo a quien encuentre un judío pobre” https://t.co/R0mU8U6Ae4,@usuario Y a quien encuentre a un gitano con empleo honesto.,0,0,0,,,
335473,Alfredo Cornejo: “El peronismo de hoy representa al sector parasitario que vive de quienes crean riqueza” https://t.co/p3bKfwF93N,@usuario Viejo bldo,1,1,1,bldo,"bldo
boludo",bldo boludo
331610,"La Provincia volvió a apuntar a la Ciudad por el avance del coronavirus: ""Veníamos bien hasta el brote de la villa 31"" https://t.co/7ROvndX32c",@usuario Este Kreplak no es nada confiable,0,0,0,,"regional (kreplak, villa 31)",
374893,"Robó a una embarazada, los vecinos lo lincharon y pidió clemencia: “Perdón, tengo dos pibes” https://t.co/gOcURtu6LT","@usuario Anda a vender pastelitos, pelotudo, si es cierto que tenes dos hijos.",1,1,1,pelotudo,"pelotudo
 es un regionalismo. chequeado. pero no sólo para argentina. en españa entiendo que no se usa.

https://es.wiktionary.org/wiki/pelotudo#:~:text=Adjetivo,-Singular&text=Dicho%20de%20una%20persona%2C%20que,como%20sustantivo%2C%20despectivo%2C%20malsonante.
",pelotudo
360112,Graciela Camaño: “Me parece horrible que el abogado de Cristina Kirchner integre el consejo para la reforma judicial” https://t.co/A9DGv1ktP7,@usuario Pero después vas y votas por su impunidad vieja forra @usuario,0,1,1,,"forra
vieja
vieja en sentido agresivo creo que es regionalismo",forra
391575,Una dirigente gremial docente afirmó que “el nivel de circulación de coronavirus dentro de una escuela es tan alto que podría compararse con el de una fiesta clandestina” https://t.co/4Huf0N317Q,"@usuario Manga de ignorantes!!!! Como pueden poner en duda que la  escuela es foco de contagio???? Forros!!!! Mandan al muere a los pibes, a los familiares de riesgo porque no quieren quedarse a cuidar a los pibes en casa.... Estupidos imberbes",1,1,1,,forros,forros
404476,Diego Poggi se arrepintió de publicar el doloroso mensaje que le escribió su padre cuando le contó que tenía novio: “Exploté de la peor manera” https://t.co/npOke3v0bX,@usuario Muy imbecil.... los trapos sucios de lavan en casa. Resentido total ...,0,1,0,,"trapos sucios
total",
352818,"💥[OTRA INDIRECTA]💥 ¿More Rial cuestionó las habilidades de su ex en la cama? &gt;&gt;&gt; Luego de su separación con Facundo Ambrosioni, la mediática hizo una fuerte referencia a su vida sexual. ¡Mirá!  https://t.co/BGvJn4JoFo",@usuario Esta acumulando mas leche que mastellone,1,1,1,,"mastellone
leche
mm. no se si es regionalismo, supongo que sí.
y acá pienso que es interesante también saber cuáles tienen metáforas",más leche que mastellone
385847,Domingo Cavallo: “El Gobierno debería retomar las privatizaciones para reducir el déficit fiscal” | Por Martín Kanenguiser https://t.co/2ttAGxaUUH,"@usuario El estado no tiene por qué poseer empresas y competir contra los privados. Es, fué y siempre será un ABUSO DE PODER",0,0,0,,,